occupancy_date,shelter_city,sector,total_occupancy,total_capacity
2017-01-01,Etobicoke,Youth,53,53
2017-01-01,North York,Youth,72,73
2017-01-01,Scarborough,Co-ed,67,67
2017-01-01,Scarborough,Youth,0,0
2017-01-01,Toronto,Co-ed,463,515
2017-01-01,Toronto,Families,1030,1150
2017-01-01,Toronto,Men,1595,1706
2017-01-01,Toronto,Women,641,697
2017-01-01,Toronto,Youth,374,392
2017-01-02,Etobicoke,Youth,52,53
2017-01-02,North York,Youth,68,73
2017-01-02,Scarborough,Co-ed,66,67
2017-01-02,Scarborough,Youth,0,0
2017-01-02,Toronto,Co-ed,392,515
2017-01-02,Toronto,Families,1029,1156
2017-01-02,Toronto,Men,1655,1751
2017-01-02,Toronto,Women,661,697
2017-01-02,Toronto,Youth,376,392
2017-01-03,Etobicoke,Youth,51,53
2017-01-03,North York,Youth,72,73
2017-01-03,Scarborough,Co-ed,66,67
2017-01-03,Scarborough,Youth,0,0
2017-01-03,Toronto,Co-ed,391,515
2017-01-03,Toronto,Families,1118,1156
2017-01-03,Toronto,Men,1664,1780
2017-01-03,Toronto,Women,651,697
2017-01-03,Toronto,Youth,373,392
2017-01-04,Etobicoke,Youth,51,53
2017-01-04,North York,Youth,73,73
2017-01-04,Scarborough,Co-ed,67,67
2017-01-04,Scarborough,Youth,0,0
2017-01-04,Toronto,Co-ed,492,545
2017-01-04,Toronto,Families,1204,1331
2017-01-04,Toronto,Men,1678,1792
2017-01-04,Toronto,Women,661,685
2017-01-04,Toronto,Youth,374,392
2017-01-05,Etobicoke,Youth,51,53
2017-01-05,North York,Youth,73,73
2017-01-05,Scarborough,Co-ed,65,67
2017-01-05,Scarborough,Youth,0,0
2017-01-05,Toronto,Co-ed,423,555
2017-01-05,Toronto,Families,1362,1382
2017-01-05,Toronto,Men,1697,1792
2017-01-05,Toronto,Women,677,697
2017-01-05,Toronto,Youth,381,392
2017-01-06,Etobicoke,Youth,52,53
2017-01-06,North York,Youth,72,73
2017-01-06,Scarborough,Co-ed,67,67
2017-01-06,Scarborough,Youth,0,0
2017-01-06,Toronto,Co-ed,416,555
2017-01-06,Toronto,Families,1467,1442
2017-01-06,Toronto,Men,1679,1775
2017-01-06,Toronto,Women,679,697
2017-01-06,Toronto,Youth,371,392
2017-01-07,Etobicoke,Youth,53,53
2017-01-07,North York,Youth,70,73
2017-01-07,Scarborough,Co-ed,67,67
2017-01-07,Scarborough,Youth,0,0
2017-01-07,Toronto,Co-ed,492,559
2017-01-07,Toronto,Families,1546,1582
2017-01-07,Toronto,Men,1645,1751
2017-01-07,Toronto,Women,692,707
2017-01-07,Toronto,Youth,374,392
2017-01-08,Etobicoke,Youth,51,53
2017-01-08,North York,Youth,73,73
2017-01-08,Scarborough,Co-ed,65,67
2017-01-08,Toronto,Co-ed,420,559
2017-01-08,Toronto,Families,1591,1816
2017-01-08,Toronto,Men,1638,1740
2017-01-08,Toronto,Women,686,697
2017-01-08,Toronto,Youth,387,392
2017-01-09,Etobicoke,Youth,52,53
2017-01-09,North York,Youth,73,73
2017-01-09,Scarborough,Co-ed,65,67
2017-01-09,Toronto,Co-ed,405,559
2017-01-09,Toronto,Families,1679,1711
2017-01-09,Toronto,Men,1659,1729
2017-01-09,Toronto,Women,684,697
2017-01-09,Toronto,Youth,377,392
2017-01-10,Etobicoke,Youth,53,53
2017-01-10,North York,Youth,73,73
2017-01-10,Scarborough,Co-ed,61,67
2017-01-10,Toronto,Co-ed,485,527
2017-01-10,Toronto,Families,1751,1821
2017-01-10,Toronto,Men,1690,1739
2017-01-10,Toronto,Women,677,696
2017-01-10,Toronto,Youth,386,392
2017-01-11,Etobicoke,Youth,53,53
