date,shelter_city,sector,total_occupancy,total_capacity
2017-01-01,Toronto,women,1152,2376
2017-01-01,Toronto,men,819,2056
2017-01-01,Toronto,youth,1803,2345
2017-01-01,Toronto,co-ed,2098,2110
2017-01-01,Toronto,family,1572,2008
2017-01-01,North York,women,2042,1686
2017-01-01,North York,men,2108,1760
2017-01-01,North York,youth,1315,1488
2017-01-01,North York,co-ed,817,3251
2017-01-01,North York,family,1736,1931
2017-01-01,Scarborough,women,1164,2056
2017-01-01,Scarborough,men,1459,1563
2017-01-01,Scarborough,youth,1415,1868
2017-01-01,Scarborough,co-ed,2010,1821
2017-01-01,Scarborough,family,1768,2510
2017-01-01,Etobicoke,women,815,1798
2017-01-01,Etobicoke,men,1134,2880
2017-01-01,Etobicoke,youth,1685,1780
2017-01-01,Etobicoke,co-ed,1870,1601
2017-01-01,Etobicoke,family,1488,760
2017-01-02,Toronto,women,1358,882
2017-01-02,Toronto,men,860,1797
2017-01-02,Toronto,youth,1487,1656
2017-01-02,Toronto,co-ed,1759,1737
2017-01-02,Toronto,family,1759,2117
2017-01-02,North York,women,830,2554
2017-01-02,North York,men,1879,969
2017-01-02,North York,youth,807,1688
2017-01-02,North York,co-ed,1635,1579
2017-01-02,North York,family,2038,1087
2017-01-02,Scarborough,women,1614,1395
2017-01-02,Scarborough,men,1683,1806
2017-01-02,Scarborough,youth,1784,2396
2017-01-02,Scarborough,co-ed,1805,1153
2017-01-02,Scarborough,family,1367,1750
2017-01-02,Etobicoke,women,1892,1573
2017-01-02,Etobicoke,men,1168,1566
2017-01-02,Etobicoke,youth,2260,2692
2017-01-02,Etobicoke,co-ed,730,1501
2017-01-02,Etobicoke,family,1653,1378
2017-01-03,Toronto,women,1665,1451
2017-01-03,Toronto,men,2065,2173
2017-01-03,Toronto,youth,1767,2683
2017-01-03,Toronto,co-ed,1052,1476
2017-01-03,Toronto,family,2424,1050
2017-01-03,North York,women,1639,2561
2017-01-03,North York,men,1697,1576
2017-01-03,North York,youth,1731,1920
2017-01-03,North York,co-ed,1853,1245
2017-01-03,North York,family,994,1490
2017-01-03,Scarborough,women,2016,1716
2017-01-03,Scarborough,men,1747,1811
2017-01-03,Scarborough,youth,1836,1540
2017-01-03,Scarborough,co-ed,1719,1452
2017-01-03,Scarborough,family,861,2508
2017-01-03,Etobicoke,women,2182,1728
2017-01-03,Etobicoke,men,801,1904
2017-01-03,Etobicoke,youth,764,788
2017-01-03,Etobicoke,co-ed,1948,1846
2017-01-03,Etobicoke,family,1169,1890
2017-01-04,Toronto,women,1388,1657
2017-01-04,Toronto,men,1940,2478
2017-01-04,Toronto,youth,1544,2068
2017-01-04,Toronto,co-ed,1222,1685
2017-01-04,Toronto,family,1154,2160
2017-01-04,North York,women,1202,1250
2017-01-04,North York,men,1368,1699
2017-01-04,North York,youth,1953,2642
2017-01-04,North York,co-ed,843,1172
2017-01-04,North York,family,1566,1218
2017-01-04,Scarborough,women,2180,2059
2017-01-04,Scarborough,men,1654,2177
2017-01-04,Scarborough,youth,1624,1556
2017-01-04,Scarborough,co-ed,1866,1177
2017-01-04,Scarborough,family,2075,2671
2017-01-04,Etobicoke,women,2553,1387
2017-01-04,Etobicoke,men,1487,1868
2017-01-04,Etobicoke,youth,1311,1283
2017-01-04,Etobicoke,co-ed,1369,1396
2017-01-04,Etobicoke,family,780,1245
2017-01-05,Toronto,women,1166,1884
